time_years,renorm_count,separation_norm_before,target_separation_norm,accumulated_log_growth,finite_time_lcn_1_per_year,fit_start_years,fit_elapsed_years,seed,step_days,integrator,gr_model,reference_relative_energy_error,shadow_relative_energy_error,reference_relative_angular_momentum_error,shadow_relative_angular_momentum_error
0.5,1,7.52564515626199e-12,6.678213864588852e-12,0.11946597575725108,0.23893195151450217,0.0,0.5,42,16.0,whfast,none,2.280129357965322e-16,-3.1785003250126297e-13,3.311531641861854e-16,1.5148527430566974e-13
1.0,2,8.682841147594234e-12,6.678213864588852e-12,0.3819642057689618,0.3819642057689618,0.0,1.0,42,16.0,whfast,none,2.280129357965322e-16,-8.95406798875509e-13,2.7892740123370307e-16,4.2716538801350846e-13
