time_years,cumulative_log_growth,mean_megno,relative_energy_error
2.0472160000e+05,1.2904096461e+01,2.0035458738e+00,9.957612e-07
3.8944280001e+05,1.3589155255e+01,2.0031632967e+00,6.863240e-07
6.1416440000e+05,1.3976692871e+01,2.0036251262e+00,7.447639e-07
7.9888559996e+05,1.4209322768e+01,2.0043049470e+00,5.879618e-07
9.8360679991e+05,1.4532517383e+01,2.0052262346e+00,6.520859e-07
1.2083283999e+06,1.4605034074e+01,2.0065407000e+00,6.196376e-07
1.3930495998e+06,1.4852555020e+01,2.0068382285e+00,7.824611e-07
1.6177711998e+06,1.5061120932e+01,2.0075016564e+00,7.072494e-07
1.8024923997e+06,1.5011797969e+01,2.0079332633e+00,7.385212e-07
1.9872135997e+06,1.5160955804e+01,2.0082627886e+00,1.026576e-06
2.2119351998e+06,1.5344339848e+01,2.0091578095e+00,1.728532e-07
2.3966563999e+06,1.5271566839e+01,2.0095387578e+00,7.003372e-07
2.5813780001e+06,1.5513247885e+01,2.0094073694e+00,5.945675e-07
2.8060992003e+06,1.5523589619e+01,2.0090299423e+00,6.069508e-07
2.9908204005e+06,1.5521612402e+01,2.0081833158e+00,6.197833e-07
3.2155420007e+06,1.5660099790e+01,2.0065085875e+00,6.044375e-07
3.4002632009e+06,1.5634458668e+01,2.0049685090e+00,7.402408e-07
3.5849848010e+06,1.5695164511e+01,2.0034251474e+00,8.242751e-07
3.8097060013e+06,1.5770181520e+01,2.0017107246e+00,8.977659e-07
3.9944272014e+06,1.5763508088e+01,2.0006077427e+00,5.585872e-07
4.2191488016e+06,1.5901073407e+01,1.9992839104e+00,5.163273e-08
4.4038700018e+06,1.5937813035e+01,1.9983639797e+00,7.396041e-07
4.5885916020e+06,1.5884817785e+01,1.9977440640e+00,6.105274e-07
4.8133128022e+06,1.6040692105e+01,1.9973654964e+00,6.473778e-07
4.9980340024e+06,1.6027790877e+01,1.9977525004e+00,6.107559e-07
5.1827556025e+06,1.6068378956e+01,1.9987537114e+00,7.152803e-07
5.4074768027e+06,1.6157900573e+01,2.0003757902e+00,6.691008e-07
5.5921984029e+06,1.6116973585e+01,2.0020342740e+00,8.700293e-07
5.8169196031e+06,1.6121832126e+01,2.0040142338e+00,8.484455e-07
