time_years,cumulative_log_growth,mean_megno,relative_energy_error
2.0472160000e+05,1.3292101469e+01,1.9854532386e+00,9.957612e-07
3.8944280001e+05,1.3939559364e+01,1.9896047952e+00,6.863240e-07
6.1416440000e+05,1.4504198512e+01,1.9935101970e+00,7.447639e-07
7.9888559996e+05,1.4632503189e+01,1.9951407475e+00,5.879618e-07
9.8360679991e+05,1.4974848908e+01,1.9958836751e+00,6.520859e-07
1.2083283999e+06,1.5061360301e+01,1.9971587714e+00,6.196376e-07
1.3930495998e+06,1.5200916051e+01,1.9973225739e+00,7.824611e-07
1.6177711998e+06,1.5435236315e+01,1.9972367946e+00,7.072494e-07
1.8024923997e+06,1.5446923562e+01,1.9974783570e+00,7.385212e-07
1.9872135997e+06,1.5564136488e+01,1.9973170370e+00,1.026576e-06
2.2119351998e+06,1.5808626964e+01,1.9971987125e+00,1.728532e-07
2.3966563999e+06,1.5739149768e+01,1.9973665761e+00,7.003372e-07
2.5813780001e+06,1.5886016236e+01,1.9971994384e+00,5.945675e-07
2.8060992003e+06,1.5996450330e+01,1.9971502790e+00,6.069508e-07
2.9908204005e+06,1.5919929706e+01,1.9970743038e+00,6.197833e-07
3.2155420007e+06,1.6068967660e+01,1.9967291048e+00,6.044375e-07
3.4002632009e+06,1.6088544322e+01,1.9965229727e+00,7.402408e-07
3.5849848010e+06,1.6014135737e+01,1.9964286924e+00,8.242751e-07
3.8097060013e+06,1.6327390376e+01,1.9961887230e+00,8.977659e-07
3.9944272014e+06,1.6265706670e+01,1.9962051512e+00,5.585872e-07
4.2191488016e+06,1.6117099808e+01,1.9962207434e+00,5.163273e-08
4.4038700018e+06,1.6423914691e+01,1.9960695026e+00,7.396041e-07
4.5885916020e+06,1.6447561569e+01,1.9960525519e+00,6.105274e-07
4.8133128022e+06,1.6367340093e+01,1.9960110734e+00,6.473778e-07
4.9980340024e+06,1.6431773166e+01,1.9958316012e+00,6.107559e-07
5.1827556025e+06,1.6433884133e+01,1.9958459260e+00,7.152803e-07
5.4074768027e+06,1.6617684241e+01,1.9958610493e+00,6.691008e-07
5.5921984029e+06,1.6584472709e+01,1.9958491602e+00,8.700293e-07
5.8169196031e+06,1.6444141560e+01,1.9960166996e+00,8.484455e-07
6.0016408033e+06,1.6710842129e+01,1.9960977755e+00,5.820131e-08
6.1863624035e+06,1.6742456195e+01,1.9960879624e+00,8.285737e-07
6.4110836037e+06,1.6574968234e+01,1.9962435569e+00,9.241796e-07
6.5958052038e+06,1.6723796412e+01,1.9963058952e+00,6.630147e-07
6.7805264040e+06,1.6726698754e+01,1.9963490224e+00,6.058489e-07
7.0052476042e+06,1.6840549627e+01,1.9965743661e+00,5.806369e-07
7.1899692044e+06,1.6851385447e+01,1.9966788573e+00,6.523648e-07
7.4146904046e+06,1.6765505709e+01,1.9967749665e+00,6.404069e-07
7.5994120048e+06,1.6926143190e+01,1.9969279968e+00,8.422428e-07
7.7841332050e+06,1.6998474334e+01,1.9969477809e+00,2.853327e-07
8.0088544052e+06,1.6770072939e+01,1.9969341001e+00,4.902625e-07
8.1935760053e+06,1.6930743552e+01,1.9969854256e+00,8.903109e-07
8.4182972054e+06,1.7124521193e+01,1.9969544395e+00,8.427924e-07
8.6030188047e+06,1.6974779779e+01,1.9969616945e+00,7.027712e-07
8.7877400040e+06,1.7032506096e+01,1.9969981953e+00,6.031218e-07
9.0124612032e+06,1.7105150700e+01,1.9969703727e+00,6.180657e-07
9.1971828025e+06,1.7136325728e+01,1.9969865661e+00,6.190489e-07
9.3819040018e+06,1.7184843183e+01,1.9970377998e+00,8.278065e-07
9.6066256010e+06,1.7068942541e+01,1.9970319069e+00,6.962670e-07
9.7913468003e+06,1.7121596272e+01,1.9971187987e+00,6.516926e-07
1.0016067999e+07,1.7326426978e+01,1.9973305451e+00,8.167751e-07
1.0200789599e+07,1.7120377560e+01,1.9974835797e+00,8.729912e-07
1.0385510798e+07,1.7175869419e+01,1.9977224103e+00,7.186559e-07
1.0610232397e+07,1.7352669900e+01,1.9980577696e+00,7.926377e-07
1.0794953597e+07,1.7206413218e+01,1.9983082150e+00,6.194801e-07
1.1019674796e+07,1.7250578548e+01,1.9986812077e+00,6.293051e-07
1.1204396395e+07,1.7344749242e+01,1.9990331271e+00,5.956368e-07
1.1389117594e+07,1.7304797979e+01,1.9994160713e+00,7.161184e-07
1.1613839193e+07,1.7403702523e+01,1.9999425606e+00,6.526091e-07
1.1798560393e+07,1.7334681491e+01,2.0003697691e+00,9.214080e-07
1.1983281592e+07,1.7375079237e+01,2.0007964214e+00,8.585498e-07
1.2208003191e+07,1.7607566950e+01,2.0014319245e+00,3.463291e-07
1.2392724391e+07,1.7396925852e+01,2.0018802172e+00,7.784336e-07
1.2617445990e+07,1.7322068600e+01,2.0024114371e+00,8.463202e-07
1.2802167189e+07,1.7575897481e+01,2.0029519797e+00,6.447678e-07
1.2986888388e+07,1.7551777903e+01,2.0035117809e+00,5.972132e-07
1.3211609988e+07,1.7476996035e+01,2.0041833511e+00,5.800572e-07
1.3396331187e+07,1.7498695926e+01,2.0047729861e+00,6.871243e-07
1.3581052786e+07,1.7640358469e+01,2.0053297448e+00,1.036088e-06
1.3805773985e+07,1.7681449482e+01,2.0061057156e+00,8.924005e-07
1.3990495185e+07,1.7584800401e+01,2.0067064241e+00,1.885140e-07
1.4215216784e+07,1.7662167424e+01,2.0074541910e+00,1.667079e-07
1.4399937983e+07,1.7694870926e+01,2.0081726998e+00,8.035643e-07
1.4584659582e+07,1.7677387694e+01,2.0088865518e+00,6.232951e-07
1.4809380782e+07,1.7625116917e+01,2.0097331426e+00,6.683949e-07
1.4994101981e+07,1.7738130444e+01,2.0105216477e+00,5.966423e-07
1.5218823580e+07,1.7654568771e+01,2.0114681334e+00,5.931127e-07
1.5403544779e+07,1.7739228139e+01,2.0121766132e+00,6.552956e-07
1.5588266379e+07,1.7720870469e+01,2.0129456300e+00,8.502407e-07
1.5812987578e+07,1.7712379540e+01,2.0139922174e+00,7.845764e-07
1.5997708777e+07,1.7767929576e+01,2.0148373227e+00,2.693686e-07
1.6182430376e+07,1.7796028198e+01,2.0156837404e+00,8.711264e-07
1.6407151576e+07,1.7678089288e+01,2.0167237960e+00,1.028665e-06
1.6591873175e+07,1.7857766411e+01,2.0176309269e+00,6.716465e-07
1.6816594374e+07,1.7785667890e+01,2.0187163581e+00,6.794806e-07
1.7001315573e+07,1.7811705291e+01,2.0195383684e+00,5.801545e-07
1.7186037173e+07,1.7773922644e+01,2.0202910705e+00,6.424312e-07
1.7410758372e+07,1.7858969824e+01,2.0213112962e+00,6.368345e-07
1.7595479971e+07,1.7821862467e+01,2.0221187578e+00,8.007117e-07
1.7780201171e+07,1.7866421485e+01,2.0229128116e+00,2.527879e-07
1.8004922370e+07,1.7803474567e+01,2.0240383499e+00,5.570956e-07
1.8189643969e+07,1.7843339999e+01,2.0249081813e+00,8.935891e-07
1.8414365168e+07,1.7910829485e+01,2.0260238333e+00,6.961890e-07
1.8599086767e+07,1.8066976649e+01,2.0270255350e+00,6.996381e-07
1.8783807967e+07,1.7963392077e+01,2.0281292421e+00,5.949498e-07
1.9008529166e+07,1.7941007330e+01,2.0294589276e+00,6.155871e-07
1.9193250765e+07,1.7826401664e+01,2.0306672121e+00,6.292437e-07
1.9417971964e+07,1.8086714165e+01,2.0321346264e+00,6.003431e-07
1.9602693564e+07,1.8003475782e+01,2.0333713396e+00,6.965514e-07
1.9787414763e+07,1.7879490619e+01,2.0344804325e+00,8.324077e-07
2.0012135962e+07,1.7969670282e+01,2.0357065111e+00,8.881543e-07
2.0196857562e+07,1.8075795296e+01,2.0366477843e+00,6.642550e-07
2.0381578761e+07,1.8039268547e+01,2.0376847578e+00,7.051235e-07
2.0606300360e+07,1.7991647515e+01,2.0387859162e+00,8.123707e-07
2.0791021559e+07,1.8009304519e+01,2.0396073446e+00,6.240157e-07
2.1015742758e+07,1.7818970289e+01,2.0404766376e+00,6.357295e-07
2.1200464358e+07,1.8051826435e+01,2.0411632282e+00,5.983067e-07
2.1385185557e+07,1.8013904817e+01,2.0417139894e+00,6.912894e-07
2.1609907156e+07,1.8038103245e+01,2.0422874191e+00,6.540109e-07
2.1794628356e+07,1.7928610562e+01,2.0427510750e+00,9.073562e-07
2.2019349555e+07,1.7942597668e+01,2.0432031784e+00,8.576312e-07
2.2204071154e+07,1.8066519744e+01,2.0435698914e+00,2.978421e-07
2.2388792353e+07,1.8157844811e+01,2.0439659444e+00,8.180854e-07
2.2613513953e+07,1.7795172510e+01,2.0444012654e+00,8.817185e-07
2.2798235152e+07,1.8073297399e+01,2.0446895593e+00,6.639918e-07
