time_years,cumulative_log_growth,mean_megno,relative_energy_error
2.0472160000e+05,1.2728135265e+01,1.9738645360e+00,9.957612e-07
3.8944280001e+05,1.3369342275e+01,1.9822319078e+00,6.863240e-07
6.1416440000e+05,1.3952812328e+01,1.9876862482e+00,7.447639e-07
7.9888559996e+05,1.4058874805e+01,1.9903791670e+00,5.879618e-07
9.8360679991e+05,1.4389545462e+01,1.9919798966e+00,6.520859e-07
1.2083283999e+06,1.4593483578e+01,1.9937734264e+00,6.196376e-07
1.3930495998e+06,1.4573914456e+01,1.9945748375e+00,7.824611e-07
1.6177711998e+06,1.4809400925e+01,1.9949246879e+00,7.072494e-07
1.8024923997e+06,1.4959575021e+01,1.9953023451e+00,7.385212e-07
1.9872135997e+06,1.4971321245e+01,1.9953488766e+00,1.026576e-06
2.2119351998e+06,1.5199449981e+01,1.9952490328e+00,1.728532e-07
2.3966563999e+06,1.5152925404e+01,1.9954050229e+00,7.003372e-07
2.5813780001e+06,1.5353231618e+01,1.9954662898e+00,5.945675e-07
2.8060992003e+06,1.5420275281e+01,1.9955558813e+00,6.069508e-07
2.9908204005e+06,1.5328467717e+01,1.9956915398e+00,6.197833e-07
3.2155420007e+06,1.5482510857e+01,1.9957430556e+00,6.044375e-07
3.4002632009e+06,1.5589721856e+01,1.9957865785e+00,7.402408e-07
3.5849848010e+06,1.5437916967e+01,1.9959683555e+00,8.242751e-07
3.8097060013e+06,1.5724216063e+01,1.9960870920e+00,8.977659e-07
3.9944272014e+06,1.5763935783e+01,1.9962712091e+00,5.585872e-07
4.2191488016e+06,1.5476521800e+01,1.9965007197e+00,5.163273e-08
4.4038700018e+06,1.5864421824e+01,1.9965019610e+00,7.396041e-07
4.5885916020e+06,1.5813447012e+01,1.9964658192e+00,6.105274e-07
4.8133128022e+06,1.5708298931e+01,1.9964238368e+00,6.473778e-07
4.9980340024e+06,1.5931465547e+01,1.9962381120e+00,6.107559e-07
5.1827556025e+06,1.5831601223e+01,1.9961438684e+00,7.152803e-07
